remote_share,rep,seed,velocity,avg_wait,blockers_resolved,completed_tasks
0.0,0,1000,688,2.0980392156862746,51,250
0.0,1,1100,685,1.9285714285714286,56,255
0.0,2,1200,678,2.2830188679245285,53,258
0.0,3,1300,698,1.8,45,246
0.0,4,1400,697,1.7391304347826086,46,250
0.0,5,1500,681,1.9166666666666667,48,245
0.0,6,1600,689,1.9137931034482758,58,258
0.0,7,1700,689,2.0172413793103448,58,248
0.0,8,1800,688,2.1627906976744184,43,249
0.0,9,1900,680,2.2244897959183674,49,255
0.0,10,2000,685,2.2941176470588234,51,262
0.0,11,2100,701,1.9761904761904763,42,245
0.0,12,2200,685,1.9661016949152543,59,249
0.0,13,2300,692,2.0408163265306123,49,239
0.0,14,2400,678,2.086206896551724,58,262
0.0,15,2500,681,2.1403508771929824,57,258
0.0,16,2600,676,2.2857142857142856,56,255
0.0,17,2700,699,1.8979591836734695,49,236
0.0,18,2800,683,1.8928571428571428,56,266
0.0,19,2900,691,1.9464285714285714,56,236
0.1,0,1100,686,2.018867924528302,53,256
0.1,1,1200,676,2.5555555555555554,54,257
0.1,2,1300,680,2.1176470588235294,51,242
0.1,3,1400,695,1.7636363636363637,55,248
0.1,4,1500,681,2.4444444444444446,45,245
0.1,5,1600,689,2.088888888888889,45,258
0.1,6,1700,690,1.8928571428571428,56,249
0.1,7,1800,682,2.3207547169811322,53,247
0.1,8,1900,680,2.3333333333333335,51,255
0.1,9,2000,679,2.19672131147541,61,260
0.1,10,2100,691,1.9607843137254901,51,242
0.1,11,2200,677,2.327272727272727,55,247
0.1,12,2300,704,2.1142857142857143,35,243
0.1,13,2400,682,1.9148936170212767,47,264
0.1,14,2500,673,2.1403508771929824,57,256
0.1,15,2600,678,1.9811320754716981,53,256
0.1,16,2700,699,2.0434782608695654,46,236
0.1,17,2800,673,2.288135593220339,59,264
0.1,18,2900,679,2.510204081632653,49,232
0.1,19,3000,699,2.0,43,264
0.2,0,1200,671,2.5689655172413794,58,255
0.2,1,1300,674,2.3773584905660377,53,240
0.2,2,1400,679,2.7209302325581395,43,242
0.2,3,1500,679,2.413793103448276,58,244
0.2,4,1600,689,2.0,49,258
0.2,5,1700,672,2.34375,64,243
0.2,6,1800,676,2.392857142857143,56,244
0.2,7,1900,667,2.6315789473684212,57,252
0.2,8,2000,672,2.6379310344827585,58,256
0.2,9,2100,687,2.3333333333333335,48,240
0.2,10,2200,677,2.358490566037736,53,247
0.2,11,2300,689,2.477272727272727,44,238
0.2,12,2400,675,2.52,50,261
0.2,13,2500,678,2.3846153846153846,52,257
0.2,14,2600,664,2.9482758620689653,58,250
0.2,15,2700,691,2.32,50,234
0.2,16,2800,673,2.38,50,264
0.2,17,2900,693,2.0,48,236
0.2,18,3000,688,2.3095238095238093,42,261
0.2,19,3100,678,2.3214285714285716,56,248
0.3,0,1300,669,2.75,48,239
0.3,1,1400,681,2.3333333333333335,48,243
0.3,2,1500,673,2.559322033898305,59,242
0.3,3,1600,686,2.183673469387755,49,257
0.3,4,1700,676,2.4423076923076925,52,245
0.3,5,1800,672,2.576923076923077,52,244
