remote_share,mean_solo_skill,rep,seed,velocity,avg_wait,blockers_resolved,completed_tasks
0.0,0.3,0,3001000,696,2.2,40,252
0.0,0.3,1,3001100,686,2.2857142857142856,49,257
0.0,0.3,2,3001200,689,2.4081632653061225,49,257
0.0,0.3,3,3001300,683,2.326923076923077,52,254
0.0,0.3,4,3001400,682,2.4909090909090907,55,253
0.0,0.3,5,3001500,685,2.326923076923077,52,260
0.0,0.3,6,3001600,693,2.4680851063829787,47,260
0.0,0.3,7,3001700,688,2.255813953488372,43,254
0.0,0.3,8,3001800,682,2.488888888888889,45,244
0.0,0.3,9,3001900,680,2.375,48,258
0.0,0.3,10,3002000,692,2.4,45,256
0.0,0.3,11,3002100,677,2.4878048780487805,41,266
0.0,0.3,12,3002200,684,2.627450980392157,51,243
0.0,0.3,13,3002300,692,2.25,48,259
0.0,0.3,14,3002400,674,2.2205882352941178,68,234
0.0,0.3,15,3002500,687,2.4313725490196076,51,275
0.0,0.3,16,3002600,694,2.255813953488372,43,256
0.0,0.3,17,3002700,684,2.3043478260869565,46,264
0.0,0.3,18,3002800,689,2.5454545454545454,44,251
0.0,0.3,19,3002900,678,2.462962962962963,54,247
0.2,0.3,0,3001200,664,3.3404255319148937,47,248
0.2,0.3,1,3001300,666,2.9074074074074074,54,247
0.2,0.3,2,3001400,666,2.8421052631578947,57,247
0.2,0.3,3,3001500,679,2.8780487804878048,41,258
0.2,0.3,4,3001600,664,3.6595744680851063,47,249
0.2,0.3,5,3001700,664,3.0238095238095237,42,247
0.2,0.3,6,3001800,665,2.9444444444444446,54,240
0.2,0.3,7,3001900,684,2.488372093023256,43,259
0.2,0.3,8,3002000,688,2.861111111111111,36,253
0.2,0.3,9,3002100,643,3.360655737704918,61,256
0.2,0.3,10,3002200,676,3.0681818181818183,44,241
0.2,0.3,11,3002300,675,2.8181818181818183,44,253
0.2,0.3,12,3002400,662,3.2777777777777777,54,230
0.2,0.3,13,3002500,679,2.772727272727273,44,272
0.2,0.3,14,3002600,690,2.658536585365854,41,254
0.2,0.3,15,3002700,668,2.9148936170212765,47,259
0.2,0.3,16,3002800,668,3.0392156862745097,51,244
0.2,0.3,17,3002900,678,2.672727272727273,55,247
0.2,0.3,18,3003000,681,3.116279069767442,43,246
0.2,0.3,19,3003100,673,3.0425531914893615,47,250
0.4,0.3,0,3001400,681,3.021276595744681,47,252
0.4,0.3,1,3001500,663,3.7555555555555555,45,250
0.4,0.3,2,3001600,665,3.5208333333333335,48,250
0.4,0.3,3,3001700,664,3.675,40,247
0.4,0.3,4,3001800,653,3.6595744680851063,47,237
0.4,0.3,5,3001900,665,3.375,48,250
0.4,0.3,6,3002000,661,3.7674418604651163,43,243
0.4,0.3,7,3002100,659,3.3,50,260
0.4,0.3,8,3002200,666,3.1818181818181817,44,237
0.4,0.3,9,3002300,658,3.5576923076923075,52,246
0.4,0.3,10,3002400,657,3.1818181818181817,55,228
0.4,0.3,11,3002500,658,3.25,56,262
0.4,0.3,12,3002600,663,3.8095238095238093,42,245
0.4,0.3,13,3002700,649,3.66,50,251
0.4,0.3,14,3002800,660,3.6739130434782608,46,242
0.4,0.3,15,3002900,657,3.2857142857142856,56,237
0.4,0.3,16,3003000,657,4.127659574468085,47,235
0.4,0.3,17,3003100,658,3.840909090909091,44,244
0.4,0.3,18,3003200,659,3.3777777777777778,45,260
0.4,0.3,19,3003300,657,3.7916666666666665,48,223
0.6,0.3,0,3001600,626,5.12,50,237
0.6,0.3,1,3001700,664,3.575,40,247
0.6,0.3,2,3001800,648,4.019607843137255,51,234
0.6,0.3,3,3001900,666,3.411764705882353,51,251
0.6,0.3,4,3002000,661,3.7555555555555555,45,244
0.6,0.3,5,3002100,654,3.772727272727273,44,259
0.6,0.3,6,3002200,653,3.5090909090909093,55,232
0.6,0.3,7,3002300,635,4.175438596491228,57,237
0.6,0.3,8,3002400,642,3.9298245614035086,57,224
0.6,0.3,9,3002500,644,3.8518518518518516,54,256
0.6,0.3,10,3002600,664,3.8205128205128207,39,246
0.6,0.3,11,3002700,664,3.441860465116279,43,257
0.6,0.3,12,3002800,639,4.634615384615385,52,232
0.6,0.3,13,3002900,646,3.9423076923076925,52,233
0.6,0.3,14,3003000,639,3.8333333333333335,54,229
0.6,0.3,15,3003100,629,4.8936170212765955,47,233
0.6,0.3,16,3003200,656,4.142857142857143,42,258
0.6,0.3,17,3003300,649,4.2444444444444445,45,220
0.6,0.3,18,3003400,685,2.619047619047619,42,244
0.6,0.3,19,3003500,651,3.7884615384615383,52,236
0.8,0.3,0,3001800,663,4.222222222222222,36,239
0.8,0.3,1,3001900,639,4.42,50,239
0.8,0.3,2,3002000,646,4.674418604651163,43,236
0.8,0.3,3,3002100,616,5.446808510638298,47,245
0.8,0.3,4,3002200,614,4.844827586206897,58,221
0.8,0.3,5,3002300,620,4.888888888888889,54,230
0.8,0.3,6,3002400,637,4.333333333333333,54,222
0.8,0.3,7,3002500,630,4.375,56,251
0.8,0.3,8,3002600,650,4.348837209302325,43,241
0.8,0.3,9,3002700,648,5.114285714285714,35,249
0.8,0.3,10,3002800,629,5.020408163265306,49,229
0.8,0.3,11,3002900,626,4.913043478260869,46,226
0.8,0.3,12,3003000,640,4.617021276595745,47,228
0.8,0.3,13,3003100,628,5.122448979591836,49,232
0.8,0.3,14,3003200,626,5.311111111111111,45,246
0.8,0.3,15,3003300,640,5.021739130434782,46,217
0.8,0.3,16,3003400,646,4.4222222222222225,45,230
0.8,0.3,17,3003500,651,4.512195121951219,41,235
0.8,0.3,18,3003600,625,4.918367346938775,49,218
0.8,0.3,19,3003700,657,3.847826086956522,46,228
1.0,0.3,0,3002000,649,4.4186046511627906,43,238
1.0,0.3,1,3002100,597,6.170212765957447,47,238
1.0,0.3,2,3002200,626,5.166666666666667,48,224
1.0,0.3,3,3002300,612,5.5,50,228
1.0,0.3,4,3002400,598,5.087719298245614,57,212
1.0,0.3,5,3002500,619,5.34,50,244
1.0,0.3,6,3002600,647,4.425,40,241
1.0,0.3,7,3002700,639,6.171428571428572,35,244
1.0,0.3,8,3002800,620,5.704545454545454,44,227
1.0,0.3,9,3002900,637,4.446808510638298,47,230
1.0,0.3,10,3003000,630,4.9787234042553195,47,225
1.0,0.3,11,3003100,590,5.839285714285714,56,218
1.0,0.3,12,3003200,631,5.162790697674419,43,249
1.0,0.3,13,3003300,627,5.4222222222222225,45,212
1.0,0.3,14,3003400,636,4.450980392156863,51,227
1.0,0.3,15,3003500,633,5.25,44,227
1.0,0.3,16,3003600,609,5.36734693877551,49,213
1.0,0.3,17,3003700,626,5.361702127659575,47,214
1.0,0.3,18,3003800,637,4.931818181818182,44,240
1.0,0.3,19,3003900,623,4.730769230769231,52,221
0.0,0.5,0,5001000,699,2.076923076923077,39,260
0.0,0.5,1,5001100,681,1.9855072463768115,69,249
0.0,0.5,2,5001200,684,2.326530612244898,49,248
0.0,0.5,3,5001300,697,1.9574468085106382,47,253
0.0,0.5,4,5001400,685,2.2115384615384617,52,246
0.0,0.5,5,5001500,700,1.8775510204081634,49,247
0.0,0.5,6,5001600,696,1.7592592592592593,54,252
0.0,0.5,7,5001700,685,2.0727272727272728,55,247
0.0,0.5,8,5001800,698,1.6818181818181819,44,259
0.0,0.5,9,5001900,671,2.161290322580645,62,254
0.0,0.5,10,5002000,675,2.1470588235294117,68,245
0.0,0.5,11,5002100,687,2.0163934426229506,61,256
0.0,0.5,12,5002200,688,2.0701754385964914,57,261
0.0,0.5,13,5002300,682,1.9310344827586208,58,253
0.0,0.5,14,5002400,695,1.925,40,265
0.0,0.5,15,5002500,687,2.0338983050847457,59,256
0.0,0.5,16,5002600,685,2.0,44,277
