remote_share,block_prob,rep,seed,velocity,avg_wait,blockers_resolved,completed_tasks
0.0,0.01,0,101000,707,1.8421052631578947,19,259
0.0,0.01,1,101100,704,1.7916666666666667,24,250
0.0,0.01,2,101200,701,2.0416666666666665,24,264
0.0,0.01,3,101300,709,2.0714285714285716,28,261
0.0,0.01,4,101400,697,1.5384615384615385,26,263
0.0,0.01,5,101500,702,2.4615384615384617,26,240
0.0,0.01,6,101600,702,2.076923076923077,26,261
0.0,0.01,7,101700,704,2.260869565217391,23,251
0.0,0.01,8,101800,704,2.096774193548387,31,250
0.0,0.01,9,101900,703,2.3181818181818183,22,261
0.0,0.01,10,102000,707,1.8571428571428572,28,245
0.0,0.01,11,102100,698,2.16,25,259
0.0,0.01,12,102200,706,2.05,20,268
0.0,0.01,13,102300,696,2.3636363636363638,22,260
0.0,0.01,14,102400,715,2.0,21,253
0.0,0.01,15,102500,701,2.1875,32,267
0.0,0.01,16,102600,707,1.9090909090909092,22,259
0.0,0.01,17,102700,701,2.185185185185185,27,245
0.0,0.01,18,102800,712,2.0,21,255
0.0,0.01,19,102900,698,2.0833333333333335,24,255
0.2,0.01,0,101200,701,2.0869565217391304,23,264
0.2,0.01,1,101300,693,3.037037037037037,27,255
0.2,0.01,2,101400,687,2.411764705882353,34,260
0.2,0.01,3,101500,709,2.0384615384615383,26,243
0.2,0.01,4,101600,693,2.413793103448276,29,258
0.2,0.01,5,101700,697,3.12,25,248
0.2,0.01,6,101800,711,2.0476190476190474,21,253
0.2,0.01,7,101900,698,3.0555555555555554,18,260
0.2,0.01,8,102000,700,2.4583333333333335,24,243
0.2,0.01,9,102100,701,2.0869565217391304,23,260
0.2,0.01,10,102200,695,2.625,24,265
0.2,0.01,11,102300,696,1.8888888888888888,27,260
0.2,0.01,12,102400,698,2.4642857142857144,28,248
0.2,0.01,13,102500,701,2.3214285714285716,28,267
0.2,0.01,14,102600,684,3.1785714285714284,28,252
0.2,0.01,15,102700,701,2.1818181818181817,22,245
0.2,0.01,16,102800,703,2.652173913043478,23,252
0.2,0.01,17,102900,698,2.409090909090909,22,255
0.2,0.01,18,103000,695,3.0357142857142856,28,252
0.2,0.01,19,103100,680,2.6875,32,261
0.4,0.01,0,101400,689,2.739130434782609,23,261
0.4,0.01,1,101500,703,2.4814814814814814,27,241
0.4,0.01,2,101600,690,2.689655172413793,29,256
0.4,0.01,3,101700,695,3.24,25,247
0.4,0.01,4,101800,701,2.9565217391304346,23,248
0.4,0.01,5,101900,695,2.9130434782608696,23,259
0.4,0.01,6,102000,698,2.6296296296296298,27,241
0.4,0.01,7,102100,694,3.1363636363636362,22,256
0.4,0.01,8,102200,693,2.75,24,264
0.4,0.01,9,102300,713,1.7647058823529411,17,264
0.4,0.01,10,102400,688,2.730769230769231,26,246
0.4,0.01,11,102500,686,3.34375,32,261
0.4,0.01,12,102600,690,3.4347826086956523,23,254
0.4,0.01,13,102700,695,2.533333333333333,30,243
0.4,0.01,14,102800,712,2.25,16,255
0.4,0.01,15,102900,688,3.4782608695652173,23,251
0.4,0.01,16,103000,687,3.4827586206896552,29,250
0.4,0.01,17,103100,700,2.0384615384615383,26,266
0.4,0.01,18,103200,705,2.260869565217391,23,256
0.4,0.01,19,103300,698,2.6666666666666665,24,251
0.6,0.01,0,101600,698,2.8181818181818183,22,259
0.6,0.01,1,101700,699,3.0454545454545454,22,249
0.6,0.01,2,101800,689,3.2962962962962963,27,244
0.6,0.01,3,101900,692,3.217391304347826,23,258
0.6,0.01,4,102000,693,2.92,25,239
0.6,0.01,5,102100,701,3.5384615384615383,13,260
0.6,0.01,6,102200,682,3.5555555555555554,27,260
0.6,0.01,7,102300,710,2.2666666666666666,15,263
0.6,0.01,8,102400,688,3.0,22,246
0.6,0.01,9,102500,686,2.5,36,263
0.6,0.01,10,102600,689,2.896551724137931,29,253
0.6,0.01,11,102700,700,2.608695652173913,23,244
0.6,0.01,12,102800,696,3.7,20,249
0.6,0.01,13,102900,683,3.72,25,250
0.6,0.01,14,103000,676,4.115384615384615,26,245
0.6,0.01,15,103100,680,3.44,25,261
0.6,0.01,16,103200,688,3.0,23,252
