remote_share,remote_attrition_coef,rep,seed,velocity,total_velocity,avg_wait,blockers_resolved,completed_tasks,mean_skill,attrition_count
0.0,-1.0,0,990000001000,722,17134,1.3885804916732751,1261,6278,0.8915026719334961,2
0.0,-1.0,1,990000001001,720,17143,1.3966613672496024,1258,6229,0.8910831954663567,2
0.0,-1.0,2,990000001002,722,17175,1.363036303630363,1212,6227,0.8859896092840895,1
0.0,-1.0,3,990000001003,709,17111,1.4298993028659954,1291,6239,0.8276315354344966,2
0.0,-1.0,4,990000001004,713,17114,1.3818867924528302,1325,6258,0.8964751212595535,0
0.0,-1.0,5,990000001005,717,17126,1.3856,1250,6344,0.8963495141535575,1
0.0,-1.0,6,990000001006,717,17135,1.3993584603047313,1247,6276,0.8890154491876979,2
0.0,-1.0,7,990000001007,720,17137,1.3391502276176024,1318,6245,0.8944702713961089,1
0.0,-1.0,8,990000001008,712,17118,1.4253322908522283,1279,6224,0.8577297085031719,2
0.0,-1.0,9,990000001009,722,17159,1.3926530612244898,1225,6233,0.8965277523910784,1
0.0,-1.0,10,990000001010,714,17122,1.4527687296416938,1228,6259,0.8868551256220656,3
0.0,-1.0,11,990000001011,715,17135,1.411296738265712,1257,6194,0.8682327818262529,3
0.0,-1.0,12,990000001012,717,17121,1.3831417624521072,1305,6259,0.8790597910746948,3
0.0,-1.0,13,990000001013,714,17125,1.351605324980423,1277,6312,0.8140663478260329,4
0.0,-1.0,14,990000001014,719,17157,1.3599033816425121,1242,6277,0.8916206251244804,1
0.0,-1.0,15,990000001015,716,17140,1.4010819165378672,1294,6174,0.866571349541607,1
0.0,-1.0,16,990000001016,719,17146,1.409493161705551,1243,6202,0.8650458879558119,2
0.0,-1.0,17,990000001017,730,17152,1.3865683865683867,1221,6270,0.8744697092020088,4
0.0,-1.0,18,990000001018,723,17176,1.3646677471636952,1234,6181,0.8897622539925703,1
0.0,-1.0,19,990000001019,707,17159,1.386522075910147,1291,6112,0.8883305034720715,2
0.2,-1.0,0,990000201000,715,17076,1.5258481421647818,1238,6179,0.8938500432140415,1
0.2,-1.0,1,990000201001,720,17096,1.5032467532467533,1232,6210,0.8898578019968051,1
0.2,-1.0,2,990000201002,723,17051,1.6030405405405406,1184,6274,0.8528837587845098,2
